Total_Voters_N,Candidates_M,Winner_Votes_k,Vote_Share_q,Log10_Probability,Is_Physically_Impossible
100000,2,50000,0.5,-0.0,False
100000,2,50251,0.5025125628140703,-0.5483400794352088,False
100000,2,50502,0.5050251256281407,-2.193388012267148,False
100000,2,50753,0.507537688442211,-4.935226890467532,False
100000,2,51005,0.5100502512562815,-8.773995228640166,False
100000,2,51256,0.5125628140703518,-13.709887006018235,False
100000,2,51507,0.5150753768844221,-19.74315172530651,False
100000,2,51758,0.5175879396984925,-26.874094488411764,False
100000,2,52010,0.5201005025125628,-35.103076089117444,False
100000,2,52261,0.5226130653266332,-44.430513122778656,False
100000,2,52512,0.5251256281407035,-54.856878113111186,False
100000,2,52763,0.5276381909547738,-66.38269965618359,False
100000,2,53015,0.5301507537688442,-79.00856258171177,False
100000,2,53266,0.5326633165829145,-92.73510813178194,True
100000,2,53517,0.535175879396985,-107.56303415714665,True
100000,2,53768,0.5376884422110553,-123.49309533123166,True
100000,2,54020,0.5402010050251256,-140.52610338203306,True
100000,2,54271,0.542713567839196,-158.66292734207016,True
100000,2,54522,0.5452261306532663,-177.9044938165961,True
100000,2,54773,0.5477386934673367,-198.25178727027622,True
100000,2,55025,0.550251256281407,-219.70585033254923,True
100000,2,55276,0.5527638190954773,-242.26778412192226,True
100000,2,55527,0.5552763819095478,-265.938748589445,True
100000,2,55778,0.5577889447236181,-290.7199628816321,True
100000,2,56030,0.5603015075376885,-316.61270572314356,True
100000,2,56281,0.5628140703517588,-343.61831581949053,True
100000,2,56532,0.5653266331658291,-371.7381922801296,True
100000,2,56783,0.5678391959798995,-400.9737950622553,True
100000,2,57035,0.5703517587939698,-431.32664543565687,True
100000,2,57286,0.5728643216080402,-462.79832646904174,True
100000,2,57537,0.5753768844221105,-495.39048353817407,True
100000,2,57788,0.5778894472361809,-529.1048248562996,True
100000,2,58040,0.5804020100502513,-563.9431220272603,True
100000,2,58291,0.5829145728643216,-599.9072106217645,True
100000,2,58542,0.585427135678392,-636.9989907773146,True
100000,2,58793,0.5879396984924623,-675.2204278222687,True
100000,2,59045,0.5904522613065326,-714.5735529245969,True
100000,2,59296,0.592964824120603,-755.0604637658599,True
100000,2,59547,0.5954773869346733,-796.6833252409978,True
100000,2,59798,0.5979899497487438,-839.4443701845641,True
100000,2,60050,0.6005025125628141,-883.3459001239811,True
100000,2,60301,0.6030150753768844,-928.3902860605446,True
100000,2,60552,0.6055276381909548,-974.5799692788269,True
100000,2,60804,0.6080402010050251,-1021.9174621852079,True
100000,2,61055,0.6105527638190955,-1070.4053491763302,True
100000,2,61306,0.6130653266331658,-1120.0462875382032,True
100000,2,61557,0.6155778894472361,-1170.8430083768385,True
100000,2,61809,0.6180904522613065,-1222.798317581268,True
100000,2,62060,0.6206030150753769,-1275.9150968197914,True
100000,2,62311,0.6231155778894473,-1330.1963045704958,True
100000,2,62562,0.6256281407035176,-1385.644977186918,True
100000,2,62814,0.6281407035175879,-1442.2642299999604,True
100000,2,63065,0.6306532663316583,-1500.0572584570878,True
100000,2,63316,0.6331658291457286,-1559.0273392999195,True
100000,2,63567,0.635678391959799,-1619.1778317814199,True
100000,2,63819,0.6381909547738693,-1680.5121789238617,True
100000,2,64070,0.6407035175879396,-1743.033908818883,True
100000,2,64321,0.6432160804020101,-1806.74663597092,True
100000,2,64572,0.6457286432160804,-1871.6540626854298,True
100000,2,64824,0.6482412060301508,-1937.7599805033826,True
100000,2,65075,0.6507537688442211,-2005.0682716834644,True
100000,2,65326,0.6532663316582914,-2073.5829107336817,True
100000,2,65577,0.6557788944723618,-2143.307965993924,True
100000,2,65829,0.6582914572864321,-2214.247601271266,True
100000,2,66080,0.6608040201005025,-2286.406077529874,True
100000,2,66331,0.6633165829145728,-2359.787754637281,True
100000,2,66582,0.6658291457286432,-2434.3970931691542,True
100000,2,66834,0.6683417085427136,-2510.2386562745605,True
100000,2,67085,0.6708542713567839,-2587.317111603883,True
100000,2,67336,0.6733668341708543,-2665.637233301744,True
100000,2,67587,0.6758793969849246,-2745.2039040672403,True
100000,2,67839,0.6783919597989949,-2826.0221172840374,True
100000,2,68090,0.6809045226130653,-2908.0969792229207,True
100000,2,68341,0.6834170854271356,-2991.433711319529,True
100000,2,68592,0.6859296482412061,-3076.037652530202,True
100000,2,68844,0.6884422110552764,-3161.9142617688954,True
100000,2,69095,0.6909547738693467,-3249.0691204283703,True
100000,2,69346,0.6934673366834171,-3337.5079349889766,True
100000,2,69597,0.6959798994974875,-3427.236539718461,True
