Total_Voters_N,Candidates_M,Winner_Votes_k,Vote_Share_q,Log10_Probability,Is_Physically_Impossible
100000,4,25000,0.25,-0.0,False
100000,4,25376,0.2537688442211055,-1.6395504322872545,False
100000,4,25753,0.25753768844221103,-6.5367281161516475,False
100000,4,26130,0.2613065326633166,-14.6601517256054,False
100000,4,26507,0.2650753768844221,-25.97950914066642,False
100000,4,26884,0.26884422110552764,-40.465514320591005,False
100000,4,27261,0.27261306532663315,-58.089866646408,False
100000,4,27638,0.27638190954773867,-78.82521256324873,False
100000,4,28015,0.28015075376884424,-102.64510936698578,True
100000,4,28391,0.28391959798994976,-129.52399099228697,True
100000,4,28768,0.2876884422110553,-159.43713567051338,True
100000,4,29145,0.2914572864321608,-192.36063533639273,True
100000,4,29522,0.2952261306532663,-228.27136667179127,True
100000,4,29899,0.2989949748743719,-267.146963683498,True
100000,4,30276,0.3027638190954774,-308.9657917197806,True
100000,4,30653,0.3065326633165829,-353.70692283764004,True
100000,4,31030,0.3103015075376884,-401.3501124392852,True
100000,4,31407,0.31407035175879394,-451.87577710223013,True
100000,4,31783,0.3178391959798995,-505.26497353299226,True
100000,4,32160,0.32160804020100503,-561.4993785794287,True
100000,4,32537,0.32537688442211055,-620.5612702412508,True
100000,4,32914,0.32914572864321606,-682.43350962264,True
100000,4,33291,0.3329145728643216,-747.0995237747372,True
100000,4,33668,0.33668341708542715,-814.5432893793982,True
100000,4,34045,0.34045226130653267,-884.7493172289005,True
100000,4,34422,0.3442211055276382,-957.7026374594044,True
100000,4,34798,0.3479899497487437,-1033.3887854988143,True
100000,4,35175,0.3517587939698492,-1111.793788692228,True
100000,4,35552,0.3555276381909548,-1192.9041535706735,True
100000,4,35929,0.3592964824120603,-1276.7068537310927,True
100000,4,36306,0.3630653266331658,-1363.1893182975275,True
100000,4,36683,0.36683417085427134,-1452.339420935495,True
100000,4,37060,0.37060301507537685,-1544.1454693933188,True
100000,4,37437,0.3743718592964824,-1638.5961955458545,True
100000,4,37814,0.37814070351758794,-1735.6807459175843,True
100000,4,38190,0.38190954773869346,-1835.3886726635674,True
100000,4,38567,0.385678391959799,-1937.7099249880835,True
100000,4,38944,0.3894472361809045,-2042.6348409819961,True
100000,4,39321,0.39321608040201006,-2150.154139861216,True
100000,4,39698,0.3969849246231156,-2260.258914589572,True
100000,4,40075,0.4007537688442211,-2372.940624870559,True
100000,4,40452,0.40452261306532666,-2488.1910904933916,True
100000,4,40829,0.4082914572864321,-2606.002485019694,True
100000,4,41206,0.4120603015075377,-2726.367329798023,True
100000,4,41582,0.4158291457286432,-2849.278488294216,True
100000,4,41959,0.41959798994974873,-2974.729160726379,True
100000,4,42336,0.4233668341708543,-3102.712878994032,True
100000,4,42713,0.42713567839195976,-3233.2235018915235,True
100000,4,43090,0.43090452261306533,-3366.2552105966743,True
