Total_Voters_N,Candidates_M,Winner_Votes_k,Vote_Share_q,Log10_Probability,Is_Physically_Impossible
100000,10,10000,0.1,-0.0,False
100000,10,10452,0.10452261306532663,-4.870385074702429,False
100000,10,10904,0.10904522613065327,-19.234129362758345,False
100000,10,11356,0.1135678391959799,-42.74347059397388,False
100000,10,11809,0.11809045226130654,-75.07882008848468,False
100000,10,12261,0.12261306532663317,-115.9455291210265,True
100000,10,12713,0.1271356783919598,-165.07113309892935,True
100000,10,13165,0.13165829145728644,-222.2029884517974,True
100000,10,13618,0.13618090452261306,-287.10623469805864,True
100000,10,14070,0.1407035175879397,-359.5620276302854,True
100000,10,14522,0.14522613065326634,-439.3660000007227,True
100000,10,14974,0.14974874371859298,-526.3269142489515,True
100000,10,15427,0.1542713567839196,-620.2654782466203,True
100000,10,15879,0.15879396984924624,-721.0133001452922,True
100000,10,16331,0.16331658291457285,-828.4119625043176,True
100000,10,16783,0.1678391959798995,-942.3121991727984,True
100000,10,17236,0.17236180904522613,-1062.5731610739385,True
100000,10,17688,0.17688442211055277,-1189.0617592230335,True
100000,10,18140,0.18140703517587942,-1321.6520751019002,True
100000,10,18592,0.18592964824120603,-1460.2248299913401,True
100000,10,19045,0.19045226130653267,-1604.6669060899999,True
100000,10,19497,0.19497487437185929,-1754.8709132705626,True
100000,10,19949,0.19949748743718593,-1910.7347961808218,True
100000,10,20402,0.20402010050251257,-2072.161477117479,True
100000,10,20854,0.2085427135678392,-2239.058530709342,True
100000,10,21306,0.21306532663316582,-2411.3378869624894,True
100000,10,21758,0.21758793969849247,-2588.9155596595706,True
100000,10,22211,0.22211055276381908,-2771.711397480806,True
100000,10,22663,0.22663316582914572,-2959.6488555361134,True
100000,10,23115,0.23115577889447236,-3152.6547852747167,True
100000,10,23567,0.235678391959799,-3350.6592409776526,True
100000,10,24020,0.24020100502512562,-3553.5953012452874,True
100000,10,24472,0.24472361809045226,-3761.398904071776,True
100000,10,24924,0.2492462311557789,-3974.008694254473,True
100000,10,25376,0.2537688442211055,-4191.365882023044,True
100000,10,25829,0.25829145728643216,-4413.414111892338,True
100000,10,26281,0.2628140703517588,-4640.099340847953,True
100000,10,26733,0.2673366834170854,-4871.369725065587,True
100000,10,27185,0.271859296482412,-5107.175514446635,True
100000,10,27638,0.27638190954773867,-5347.4689543240975,True
100000,10,28090,0.2809045226130653,-5592.204193756806,True
100000,10,28542,0.28542713567839195,-5841.337199886001,True
100000,10,28994,0.2899497487437186,-6094.825677878796,True
100000,10,29447,0.29447236180904524,-6352.628996027586,True
100000,10,29899,0.2989949748743719,-6614.7081156144395,True
100000,10,30351,0.3035175879396985,-6881.025525185184,True
100000,10,30804,0.30804020100502516,-7151.545178909833,True
100000,10,31256,0.31256281407035175,-7426.232438734763,True
100000,10,31708,0.3170854271356784,-7705.054020057775,True
100000,10,32160,0.32160804020100503,-7987.977940680463,True
100000,10,32613,0.3261306532663316,-8274.973472813206,True
100000,10,33065,0.33065326633165826,-8566.011097927116,True
100000,10,33517,0.3351758793969849,-8861.06246426426,True
100000,10,33969,0.33969849246231154,-9160.10034683316,True
100000,10,34422,0.3442211055276382,-9463.098609730527,True
100000,10,34874,0.3487437185929648,-9770.032170643046,True
100000,10,35326,0.35326633165829147,-10080.8769673947,True
100000,10,35778,0.3577889447236181,-10395.609926415662,True
100000,10,36231,0.36231155778894475,-10714.208933018552,True
100000,10,36683,0.3668341708542714,-11036.652803376708,True
100000,10,37135,0.37135678391959803,-11362.921258107182,True
100000,10,37587,0.37587939698492456,-11692.994897368666,True
100000,10,38040,0.3804020100502512,-12026.855177391371,True
100000,10,38492,0.38492462311557785,-12364.48438836204,True
100000,10,38944,0.3894472361809045,-12705.8656335933,True
100000,10,39396,0.39396984924623113,-13050.982809911633,True
100000,10,39849,0.39849246231155777,-13399.82058920328,True
100000,10,40301,0.4030150753768844,-13752.364401061934,True
100000,10,40753,0.40753768844221105,-14108.600416486297,True
100000,10,41206,0.4120603015075377,-14468.515532579419,True
100000,10,41658,0.41658291457286434,-14832.09735820545,True
100000,10,42110,0.421105527638191,-15199.334200562806,True
100000,10,42562,0.4256281407035176,-15570.215052635738,True
100000,10,43015,0.43015075376884426,-15944.729581489613,True
100000,10,43467,0.4346733668341708,-16322.868117377455,True
100000,10,43919,0.43919597989949744,-16704.621643628452,True
100000,10,44371,0.4437185929648241,-17089.981787290963,True
100000,10,44824,0.4482412060301507,-17478.940810505475,True
100000,10,45276,0.45276381909547736,-17871.491602584596,True
100000,10,45728,0.457286432160804,-18267.627672779578,True
100000,10,46180,0.46180904522613064,-18667.343143714595,True
100000,10,46633,0.4663316582914573,-19070.63274547201,True
100000,10,47085,0.4708542713567839,-19477.491810313575,True
100000,10,47537,0.47537688442211057,-19887.91626802425,True
100000,10,47989,0.4798994974874372,-20301.902641866815,True
100000,10,48442,0.48442211055276385,-20719.448045137364,True
100000,10,48894,0.4889447236180905,-21140.550178312966,True
100000,10,49346,0.493467336683417,-21565.207326784483,True
100000,10,49798,0.49798994974874367,-21993.41835916896,True
100000,10,50251,0.5025125628140703,-22425.18272619731,True
100000,10,50703,0.507035175879397,-22860.500460174786,True
100000,10,51155,0.5115577889447236,-23299.372175012664,True
100000,10,51608,0.5160804020100502,-23741.79906683142,True
100000,10,52060,0.5206030150753769,-24187.7829151367,True
100000,10,52512,0.5251256281407035,-24637.32608457117,True
100000,10,52964,0.5296482412060302,-25090.431527246357,True
100000,10,53417,0.5341708542713568,-25547.10278566044,True
100000,10,53869,0.5386934673366834,-26007.343996209114,True
100000,10,54321,0.5432160804020101,-26471.15989329821,True
100000,10,54773,0.5477386934673367,-26938.55581406852,True
100000,10,55226,0.5522613065326633,-27409.537703744547,True
100000,10,55678,0.5567839195979899,-27884.112121620867,True
100000,10,56130,0.5613065326633165,-28362.286247701042,True
100000,10,56582,0.5658291457286432,-28844.067890006507,True
100000,10,57035,0.5703517587939698,-29329.46549257407,True
100000,10,57487,0.5748743718592965,-29818.488144162955,True
100000,10,57939,0.5793969849246231,-30311.145587694235,True
100000,10,58391,0.5839195979899497,-30807.44823044793,True
100000,10,58844,0.5884422110552764,-31307.407155045054,True
100000,10,59296,0.592964824120603,-31811.034131244458,True
100000,10,59748,0.5974874371859297,-32318.34162858709,True
100000,10,60201,0.6020100502512562,-32829.34282992269,True
100000,10,60653,0.6065326633165828,-33344.0516458574,True
100000,10,61105,0.6110552763819095,-33862.4827301634,True
100000,10,61557,0.6155778894472361,-34384.65149619561,True
100000,10,62010,0.6201005025125628,-34910.57413436377,True
100000,10,62462,0.6246231155778894,-35440.267630712326,True
100000,10,62914,0.629145728643216,-35973.74978666476,True
100000,10,63366,0.6336683417085427,-36511.03923999372,True
100000,10,63819,0.6381909547738693,-37052.155487082826,True
100000,10,64271,0.642713567839196,-37597.11890655205,True
100000,10,64723,0.6472361809045226,-38145.950784323955,True
100000,10,65175,0.6517587939698491,-38698.673340214336,True
100000,10,65628,0.6562814070351758,-39255.309756138224,True
100000,10,66080,0.6608040201005024,-39815.884206029004,True
100000,10,66532,0.6653266331658291,-40380.42188757726,True
100000,10,66984,0.6698492462311557,-40948.94905590439,True
100000,10,67437,0.6743718592964824,-41521.493059296256,True
100000,10,67889,0.678894472361809,-42098.082377132465,True
100000,10,68341,0.6834170854271356,-42678.74666015885,True
100000,10,68793,0.6879396984924623,-43263.51677326389,True
100000,10,69246,0.6924623115577889,-43852.4248409334,True
100000,10,69698,0.6969849246231156,-44445.504295574276,True
100000,10,70150,0.7015075376884422,-45042.78992891479,True
100000,10,70603,0.7060301507537688,-45644.31794670843,True
100000,10,71055,0.7105527638190954,-46250.12602698933,True
100000,10,71507,0.715075376884422,-46860.2533821508,True
100000,10,71959,0.7195979899497487,-47474.7408251447,True
100000,10,72412,0.7241206030150753,-48093.630840128295,True
100000,10,72864,0.728643216080402,-48716.96765791783,True
100000,10,73316,0.7331658291457286,-49344.79733664363,True
100000,10,73768,0.7376884422110552,-49977.16784804286,True
100000,10,74221,0.7422110552763819,-50614.1291698704,True
100000,10,74673,0.7467336683417085,-51255.73338495977,True
100000,10,75125,0.7512562814070352,-51902.03478752285,True
100000,10,75577,0.7557788944723618,-52553.089997341915,True
100000,10,76030,0.7603015075376884,-53208.95808257997,True
100000,10,76482,0.7648241206030151,-53869.70069201814,True
100000,10,76934,0.7693467336683416,-54535.38219762181,True
100000,10,77386,0.7738693467336683,-55206.069848444466,True
100000,10,77839,0.7783919597989949,-55881.833936998395,True
100000,10,78291,0.7829145728643215,-56562.74797936055,True
100000,10,78743,0.7874371859296482,-57248.88891044083,True
100000,10,79195,0.7919597989949748,-57940.337296021535,True
100000,10,79648,0.7964824120603015,-58637.17756338812,True
100000,10,80100,0.8010050251256281,-59339.49825261321,True
100000,10,80552,0.8055276381909547,-60047.392290838055,True
100000,10,81005,0.8100502512562814,-60760.9572922228,True
100000,10,81457,0.814572864321608,-61480.29588661852,True
100000,10,81909,0.8190954773869347,-62205.51608046237,True
100000,10,82361,0.8236180904522613,-62936.73165392125,True
100000,10,82814,0.8281407035175878,-63674.06259893066,True
100000,10,83266,0.8326633165829145,-64417.63560350923,True
100000,10,83718,0.8371859296482411,-65167.584588602265,True
100000,10,84170,0.8417085427135678,-65924.05130475212,True
100000,10,84623,0.8462311557788944,-66687.1859971441,True
100000,10,85075,0.850753768844221,-67457.14814908762,True
100000,10,85527,0.8552763819095477,-68234.10731582316,True
100000,10,85979,0.8597989949748743,-69018.24406277729,True
100000,10,86432,0.864321608040201,-69809.75102512445,True
100000,10,86884,0.8688442211055276,-70608.8341088906,True
100000,10,87336,0.8733668341708543,-71415.71385802535,True
100000,10,87788,0.8778894472361809,-72230.62701711044,True
100000,10,88241,0.8824120603015074,-73053.82832597596,True
100000,10,88693,0.8869346733668341,-73885.59259087798,True
100000,10,89145,0.8914572864321607,-74726.21708762691,True
100000,10,89597,0.8959798994974874,-75576.02436592877,True
100000,10,90050,0.900502512562814,-76435.36554230464,True
